update,wall_time_s,t_dist_s,t_collect_s,t_gae_s,t_ppo_s,n_finished,n_won,win_rate,avg_ep_len,avg_reward,p_loss,v_loss,entropy,vram_alloc_before_mb,vram_reserved_before_mb,vram_alloc_after_mb,vram_reserved_after_mb
0,207.505,0.303,101.228,0.0109,105.475,4,4,1.0000,4096.00,-133.5250,-0.000658,1.089829,2.344430,4.2,6.0,34.2,188.0
1,310.058,0.128,166.231,0.0123,143.111,4,4,1.0000,4096.00,-0.8750,0.000722,0.880297,2.845965,34.2,188.0,34.2,204.0
2,423.038,0.066,227.712,0.0117,194.481,2,2,1.0000,8192.00,-39.6000,-0.006327,0.861784,3.138917,34.2,204.0,34.2,204.0
3,501.784,0.057,278.268,0.0120,222.619,0,0,0.0000,16384.00,153.4000,-0.010105,0.465384,3.218770,34.2,204.0,34.2,228.0
4,580.000,0.061,315.247,0.0115,263.809,0,0,0.0000,16384.00,465.1000,0.003868,0.497937,3.450262,34.2,228.0,34.2,230.0
5,619.836,0.136,343.119,0.0115,275.609,1,1,1.0000,16384.00,710.6000,-0.008811,0.707212,3.471949,34.2,230.0,34.2,204.0
6,679.774,0.077,351.844,0.0120,326.804,0,0,0.0000,16384.00,556.6000,0.015123,0.481929,3.417774,34.2,204.0,34.2,224.0
7,731.805,0.153,365.909,0.0123,364.622,2,2,1.0000,8192.00,574.7500,0.014349,0.991936,3.504978,34.2,224.0,34.2,208.0
8,704.560,0.142,387.075,0.0114,316.256,0,0,0.0000,16384.00,901.2000,-0.000863,0.333542,3.542508,34.2,208.0,33.8,184.0
9,699.770,0.134,390.785,0.0109,307.803,0,0,0.0000,16384.00,1118.4000,0.020215,0.408708,3.545101,33.8,184.0,34.2,210.0
10,716.118,0.138,398.680,0.0115,316.226,0,0,0.0000,16384.00,1186.4000,-0.026703,0.359577,3.540067,34.2,210.0,33.8,194.0
11,707.566,0.061,392.746,0.0112,313.684,0,0,0.0000,16384.00,1237.6000,0.021417,0.365659,3.515654,33.8,194.0,33.8,206.0
12,664.151,0.074,370.586,0.0113,292.392,0,0,0.0000,16384.00,1417.0000,-0.004487,0.344320,3.553085,33.8,206.0,34.2,220.0
13,637.776,0.063,367.934,0.0122,268.667,0,0,0.0000,16384.00,1592.8000,-0.001687,0.342580,3.440247,34.2,220.0,34.2,226.0
14,639.136,0.070,371.147,0.0119,266.847,0,0,0.0000,16384.00,1445.4000,0.002520,0.344261,3.475420,34.2,226.0,33.8,188.0
15,662.774,0.064,380.268,0.0112,281.321,0,0,0.0000,16384.00,1341.3000,-0.006808,0.327184,3.395375,33.8,188.0,34.2,210.0
16,685.522,0.129,384.803,0.0124,299.452,0,0,0.0000,16384.00,1321.0000,0.026532,0.364399,3.432087,34.2,210.0,33.8,180.0
17,693.094,0.142,387.954,0.0111,303.869,0,0,0.0000,16384.00,1310.2000,0.013618,0.334103,3.485045,33.8,180.0,33.8,190.0
18,637.614,0.065,380.053,0.0112,256.356,0,0,0.0000,16384.00,1544.1001,-0.024691,0.324687,3.481549,33.8,190.0,34.2,230.0
19,643.007,0.076,388.357,0.0114,253.418,0,0,0.0000,16384.00,1639.3999,-0.028859,0.320203,3.392151,34.2,230.0,33.8,202.0
20,628.667,0.134,373.423,0.0120,253.978,0,0,0.0000,16384.00,1648.7000,-0.002586,0.401877,3.380359,33.8,202.0,34.2,220.0
21,628.345,0.067,371.746,0.0115,255.378,0,0,0.0000,16384.00,1383.3999,0.009153,0.286302,3.365418,34.2,220.0,33.8,204.0
22,665.245,0.139,389.988,0.0108,273.958,0,0,0.0000,16384.00,1542.7000,-0.032710,0.354557,3.343972,33.8,204.0,34.2,222.0
23,671.440,0.059,392.235,0.0113,278.023,0,0,0.0000,16384.00,1594.6001,-0.019515,0.334681,3.247488,34.2,222.0,34.2,228.0
24,678.149,0.065,394.090,0.0122,282.932,0,0,0.0000,16384.00,1584.7000,0.010457,0.348493,3.094170,34.2,228.0,33.8,204.0
25,687.621,0.069,394.398,0.0115,292.026,0,0,0.0000,16384.00,1510.0000,-0.018350,0.359000,3.191181,33.8,204.0,33.8,232.0
26,741.931,0.064,421.138,0.0113,319.647,0,0,0.0000,16384.00,1689.0000,-0.000948,0.435869,3.036553,33.8,232.0,34.2,218.0
27,695.643,0.063,414.783,0.0109,279.628,0,0,0.0000,16384.00,1681.7000,0.015566,0.391333,3.174610,34.2,218.0,33.8,214.0
28,672.725,0.128,390.497,0.0108,280.948,0,0,0.0000,16384.00,1729.0000,-0.037254,0.381190,3.250828,33.8,214.0,34.2,208.0
29,710.869,0.062,408.984,0.0114,300.677,0,0,0.0000,16384.00,1534.3000,0.004346,0.418768,3.222024,34.2,208.0,33.8,198.0
30,655.029,0.064,387.146,0.0108,266.673,0,0,0.0000,16384.00,1686.1000,0.014949,0.376004,3.226563,33.8,198.0,34.2,222.0
31,677.991,0.130,391.610,0.0128,285.059,0,0,0.0000,16384.00,1744.2001,0.026402,0.346316,3.110911,34.2,222.0,33.8,192.0
32,694.258,0.134,406.248,0.0110,286.720,1,0,0.0000,16384.00,1856.3000,-0.001639,0.510241,3.238086,33.8,192.0,34.2,246.0
33,632.779,0.060,388.291,0.0113,243.292,0,0,0.0000,16384.00,2067.7998,-0.004066,0.498702,3.146904,34.2,246.0,33.8,198.0
34,670.805,0.140,393.275,0.0110,276.240,0,0,0.0000,16384.00,2047.2999,0.016955,0.533247,3.134103,33.8,198.0,34.2,222.0
35,711.046,0.077,418.236,0.0130,291.621,0,0,0.0000,16384.00,1858.6000,-0.006927,0.523412,3.234522,34.2,222.0,34.2,224.0
36,755.293,0.128,428.663,0.0114,325.329,0,0,0.0000,16384.00,1917.6000,-0.021806,0.503492,3.187479,34.2,224.0,34.2,202.0
37,747.480,0.063,427.964,0.0116,318.275,0,0,0.0000,16384.00,2136.3000,0.002046,0.428033,3.011830,34.2,202.0,34.2,206.0
38,785.643,0.066,445.404,0.0110,339.012,0,0,0.0000,16384.00,2281.3999,-0.014006,0.438942,3.026266,34.2,206.0,34.2,220.0
39,790.785,0.063,458.037,0.0109,331.535,0,0,0.0000,16384.00,2038.4001,-0.010630,0.423718,3.066621,34.2,220.0,34.2,218.0
40,738.166,0.133,419.146,0.0113,317.708,0,0,0.0000,16384.00,2232.1001,0.011152,0.535991,3.023728,34.2,218.0,33.8,214.0
41,767.998,0.135,423.988,0.0116,342.696,2,0,0.0000,8192.00,1290.4500,-0.015835,0.670176,2.913493,33.8,214.0,34.2,242.0
42,791.949,0.131,444.646,0.0122,345.946,0,0,0.0000,16384.00,2560.2998,0.009335,0.576481,2.781453,34.2,242.0,34.2,218.0
43,792.125,0.118,428.573,0.0114,362.244,2,1,0.5000,8192.00,1273.1000,0.007928,1.064864,2.876674,34.2,218.0,34.2,206.0
44,772.014,0.129,446.913,0.0107,323.748,0,0,0.0000,16384.00,2550.3999,0.042591,0.644620,2.821894,34.2,206.0,33.8,202.0
45,856.387,0.060,458.315,0.0112,396.860,0,0,0.0000,16384.00,2228.6001,0.002218,0.541162,2.873731,33.8,202.0,34.2,234.0
46,870.120,0.126,461.529,0.0108,407.273,0,0,0.0000,16384.00,2312.5000,-0.014133,0.606159,2.845616,34.2,234.0,34.2,210.0
47,863.054,0.074,473.169,0.0115,388.557,0,0,0.0000,16384.00,2512.1001,0.008097,0.525713,2.836829,34.2,210.0,34.2,226.0
48,824.499,0.119,460.518,0.0113,362.670,0,0,0.0000,16384.00,2489.7000,-0.004475,0.552786,2.974472,34.2,226.0,33.8,176.0
49,828.966,0.137,461.969,0.0118,365.726,4,0,0.0000,4096.00,658.0250,0.017845,0.646498,2.852128,33.8,176.0,33.8,204.0
50,779.540,0.077,424.108,0.0107,354.151,3,0,0.0000,5461.33,1081.3667,-0.007311,0.835475,2.667746,33.8,204.0,34.2,212.0
51,847.013,0.130,459.694,0.0113,385.997,3,0,0.0000,5461.33,1081.9666,0.016884,0.817046,2.561460,34.2,212.0,34.2,238.0
52,856.455,0.118,452.522,0.0108,402.680,7,2,0.2857,2340.57,511.8143,0.015458,1.526477,2.523305,34.2,238.0,34.2,248.0
53,929.298,0.120,480.843,0.0103,447.114,9,4,0.4444,1820.44,422.0222,-0.030895,1.520619,2.582114,34.2,248.0,34.2,236.0
