update,n_simul_rounds,wall_time_s,t_dist_s,t_collect_s,t_gae_s,t_ppo_s,n_finished,n_won,win_rate,avg_ep_len,avg_reward,p_loss,v_loss,entropy,vram_alloc_before_mb,vram_reserved_before_mb,vram_alloc_after_mb,vram_reserved_after_mb
30,1,1285.625,0.590,199.295,0.0223,1083.399,54,54,1.0000,606.81,20.000000,0.002682,0.513137,0.827565,4.2,10.0,34.2,130.0
31,1,1242.432,0.145,266.136,0.0223,971.668,38,38,1.0000,862.32,20.000000,0.002070,0.328584,1.168149,34.2,130.0,34.2,154.0
32,1,1264.816,0.086,278.281,0.0204,981.901,29,29,1.0000,1129.93,20.000000,0.006616,0.274079,1.330539,34.2,154.0,34.2,160.0
33,1,910.588,0.087,289.299,0.0214,616.897,21,21,1.0000,1560.38,20.000000,0.006791,0.268746,1.275971,34.2,160.0,34.2,162.0
34,1,1169.917,0.075,314.057,0.0226,850.847,23,23,1.0000,1424.70,20.000000,0.006606,0.253792,1.443815,34.2,162.0,34.2,170.0
35,1,1027.334,0.076,332.240,0.0202,691.174,24,24,1.0000,1365.33,20.000000,0.005752,0.486972,1.452744,34.2,170.0,34.2,178.0
36,1,1093.433,0.082,336.226,0.0217,753.019,24,24,1.0000,1365.33,20.000000,0.005217,0.297569,1.447441,34.2,178.0,34.2,176.0
37,1,1031.170,0.158,336.014,0.0211,691.035,20,20,1.0000,1638.40,20.000000,0.007938,0.241741,1.416262,34.2,176.0,34.2,186.0
38,1,939.146,0.149,339.755,0.0231,595.085,19,19,1.0000,1724.63,20.000000,0.007793,0.299438,1.587186,34.2,186.0,34.2,172.0
39,1,852.414,0.146,314.718,0.0220,534.406,17,17,1.0000,1927.53,20.000000,0.007996,0.220521,1.563443,34.2,172.0,34.2,166.0
40,1,723.178,0.071,355.365,0.0234,364.320,16,16,1.0000,2048.00,20.000000,0.007268,0.486154,1.691218,34.2,166.0,34.2,176.0
41,1,627.915,0.137,331.249,0.0201,292.987,13,13,1.0000,2520.62,20.000000,0.008120,0.353743,1.365946,34.2,176.0,34.2,172.0
42,1,638.160,0.089,333.724,0.0204,300.998,11,11,1.0000,2978.91,20.000000,0.009076,0.310720,1.424563,34.2,172.0,34.2,174.0
43,1,605.357,0.142,351.803,0.0232,250.396,10,10,1.0000,3276.80,20.000000,0.007940,0.265826,1.435131,34.2,174.0,34.2,158.0
44,1,679.904,0.087,343.784,0.0257,332.483,12,12,1.0000,2730.67,20.000000,0.008751,0.422905,1.560191,34.2,158.0,33.8,162.0
45,1,723.163,0.139,353.760,0.0212,365.863,11,11,1.0000,2978.91,20.000000,0.007675,0.254453,1.540377,33.8,162.0,34.2,178.0
46,1,664.617,0.147,367.929,0.0208,293.198,12,12,1.0000,2730.67,20.000000,0.006834,0.424268,1.489107,34.2,178.0,34.2,176.0
47,1,491.362,0.146,355.408,0.0206,132.992,7,7,1.0000,4681.14,20.000000,0.007823,0.362263,1.416259,34.2,176.0,34.2,176.0
48,1,614.645,0.130,374.444,0.0213,237.241,11,11,1.0000,2978.91,20.000000,0.008803,0.300037,1.280546,34.2,176.0,34.2,174.0
49,1,563.640,0.141,381.429,0.0212,179.153,8,8,1.0000,4096.00,20.000000,0.008234,0.707636,1.518147,34.2,174.0,34.2,176.0
50,1,463.207,0.149,379.386,0.0244,80.956,2,2,1.0000,16384.00,20.000000,0.006236,0.401127,1.481397,34.2,176.0,34.2,188.0
51,1,492.672,0.080,384.520,0.0236,105.409,2,2,1.0000,16384.00,20.000000,0.006494,0.197966,1.490427,34.2,188.0,34.2,178.0
52,1,449.423,0.078,385.936,0.0271,60.629,3,3,1.0000,10922.67,20.000000,0.009171,0.520024,1.055687,34.2,178.0,34.2,170.0
53,1,464.553,0.089,393.934,0.0231,67.766,2,2,1.0000,16384.00,20.000000,0.007470,0.385318,1.569881,34.2,170.0,34.2,178.0
54,1,562.449,0.151,394.325,0.0226,164.889,4,4,1.0000,8192.00,20.000000,0.007583,0.367971,1.601046,34.2,178.0,34.2,178.0
55,1,435.304,0.151,392.776,0.0230,39.586,1,1,1.0000,32768.00,20.000000,0.003993,0.016255,1.486516,34.2,178.0,34.2,166.0
56,1,568.214,0.081,379.638,0.0232,185.081,5,5,1.0000,6553.60,20.000000,0.007677,0.480437,1.591144,34.2,166.0,34.2,182.0
57,1,479.038,0.091,376.971,0.0236,98.670,4,4,1.0000,8192.00,22.500000,0.007846,0.553285,1.628443,34.2,182.0,34.2,166.0
58,1,482.760,0.143,402.889,0.0239,76.534,3,3,1.0000,10922.67,20.000000,0.006484,0.242951,1.892383,34.2,166.0,34.2,170.0
59,1,453.119,0.076,398.188,0.0257,51.903,1,1,1.0000,32768.00,20.000000,0.007130,0.127659,1.616096,34.2,170.0,34.2,166.0
60,1,410.208,0.160,380.766,0.0220,26.383,4,4,1.0000,8192.00,20.000000,0.001140,1.563781,1.074001,34.2,166.0,34.2,156.0
61,2,871.314,0.344,805.311,0.0234,59.901,1,1,1.0000,32768.00,20.000000,0.006973,0.123084,1.705484,34.2,156.0,34.2,166.0
