update,wall_time_s,t_dist_s,t_collect_s,t_gae_s,t_ppo_s,n_finished,n_won,win_rate,avg_ep_len,avg_reward,p_loss,v_loss,entropy,vram_alloc_before_mb,vram_reserved_before_mb,vram_alloc_after_mb,vram_reserved_after_mb
354,540.348,0.043,242.474,0.0111,297.060,10,10,1.0000,1638.40,775.2300,-0.002027,1.646932,1.206506,4.2,10.0,34.2,228.0
355,916.869,0.056,396.192,0.0107,519.701,4,4,1.0000,4096.00,1124.9751,-0.013525,0.237425,1.207592,34.2,228.0,34.2,264.0
356,1051.707,0.067,459.667,0.0105,591.046,3,3,1.0000,5461.33,1254.6333,-0.012047,0.220081,1.213114,34.2,264.0,34.2,272.0
357,941.843,0.066,404.203,0.0107,536.542,2,2,1.0000,8192.00,1762.2000,0.014855,0.193331,1.262574,34.2,272.0,34.2,282.0
358,932.518,0.067,410.086,0.0100,521.304,0,0,0.0000,16384.00,3030.8999,-0.006532,0.113194,1.372228,34.2,282.0,34.2,276.0
359,976.193,0.065,426.385,0.0122,548.753,0,0,0.0000,16384.00,2497.2000,-0.022917,0.119305,1.289712,34.2,276.0,33.8,240.0
360,1008.240,0.067,428.364,0.0105,578.716,0,0,0.0000,16384.00,2844.0999,0.006017,0.125380,1.272073,33.8,240.0,34.2,248.0
361,991.125,0.034,441.110,0.0112,548.932,2,2,1.0000,8192.00,1728.1001,-0.016024,0.338274,1.300160,34.2,248.0,33.8,248.0
362,1055.188,0.030,446.822,0.0100,607.272,0,0,0.0000,16384.00,3266.0999,0.000707,0.155328,1.301633,33.8,248.0,34.2,266.0
363,1000.253,0.040,439.196,0.0106,559.910,0,0,0.0000,16384.00,2890.9001,-0.014335,0.135672,1.426147,34.2,266.0,33.8,242.0
364,1074.585,0.053,427.966,0.0103,645.419,0,0,0.0000,16384.00,2977.5000,-0.017181,0.150585,1.573530,33.8,242.0,33.8,258.0
365,1091.404,0.039,456.241,0.0103,634.004,0,0,0.0000,16384.00,3043.5000,-0.015807,0.148227,1.568117,33.8,258.0,33.8,240.0
366,1091.631,0.030,454.242,0.0108,636.259,1,1,1.0000,16384.00,3109.8999,0.001665,0.303576,1.551031,33.8,240.0,33.8,246.0
367,1006.172,0.067,437.315,0.0104,567.639,0,0,0.0000,16384.00,3071.8999,0.010980,0.156099,1.532064,33.8,246.0,34.2,248.0
368,1130.030,0.066,474.668,0.0103,654.141,0,0,0.0000,16384.00,3114.6001,0.003217,0.163152,1.501366,34.2,248.0,34.2,280.0
369,1108.185,0.045,473.727,0.0116,633.241,0,0,0.0000,16384.00,3062.2002,-0.006040,0.149623,1.512712,34.2,280.0,34.2,284.0
370,1089.579,0.044,474.354,0.0102,613.997,0,0,0.0000,16384.00,2988.2002,-0.012772,0.159113,1.507649,34.2,284.0,34.2,276.0
371,1150.464,0.040,482.226,0.0107,666.998,1,1,1.0000,16384.00,3334.4001,-0.009041,0.236520,1.505622,34.2,276.0,33.8,244.0
372,1173.932,0.031,490.924,0.0102,681.748,0,0,0.0000,16384.00,3002.4001,-0.017291,0.161870,1.523864,33.8,244.0,34.2,248.0
373,1138.897,0.067,458.243,0.0110,679.314,0,0,0.0000,16384.00,3111.3999,-0.009959,0.174318,1.576101,34.2,248.0,34.2,278.0
374,1205.798,0.076,466.698,0.0106,737.795,0,0,0.0000,16384.00,3051.1001,-0.010582,0.144960,1.619053,34.2,278.0,33.8,248.0
375,1164.847,0.031,483.759,0.0116,679.809,0,0,0.0000,16384.00,3177.2998,0.003141,0.159803,1.564887,33.8,248.0,34.2,272.0
376,1111.239,0.067,464.206,0.0109,645.777,0,0,0.0000,16384.00,3196.7998,-0.015208,0.150316,1.475020,34.2,272.0,34.2,262.0
377,1190.344,0.063,503.149,0.0102,685.952,0,0,0.0000,16384.00,3365.1001,-0.006258,0.168285,1.378736,34.2,262.0,34.2,264.0
378,1168.874,0.035,475.426,0.0108,692.208,0,0,0.0000,16384.00,3240.1001,-0.019853,0.173291,1.426931,34.2,264.0,34.2,252.0
379,1161.284,0.063,463.635,0.0109,696.421,1,1,1.0000,16384.00,3372.2000,0.005594,0.361252,1.326043,34.2,252.0,34.2,252.0
380,1081.745,0.032,483.581,0.0098,596.892,1,0,0.0000,16384.00,3288.1001,-0.004907,0.199507,1.350484,34.2,252.0,33.8,244.0
381,1126.977,0.032,485.473,0.0113,640.218,0,0,0.0000,16384.00,3372.8000,-0.011793,0.190685,1.298524,33.8,244.0,34.2,252.0
382,1124.538,0.067,492.192,0.0108,631.106,0,0,0.0000,16384.00,3354.8999,-0.000207,0.185743,1.316709,34.2,252.0,33.8,230.0
383,1149.826,0.032,495.242,0.0100,653.345,0,0,0.0000,16384.00,3541.8999,-0.007390,0.189141,1.190125,33.8,230.0,34.2,252.0
384,1155.993,0.059,477.129,0.0103,677.533,0,0,0.0000,16384.00,3477.8999,-0.009150,0.182704,1.205687,34.2,252.0,34.2,278.0
385,1153.367,0.036,511.536,0.0105,640.532,0,0,0.0000,16384.00,3449.3000,-0.034052,0.175217,1.156382,34.2,278.0,34.2,286.0
386,1169.013,0.034,507.932,0.0106,659.767,1,0,0.0000,16384.00,3679.0000,-0.006987,0.207338,1.064058,34.2,286.0,34.2,284.0
387,1141.490,0.057,482.106,0.0108,658.039,3,1,0.3333,5461.33,1294.0334,-0.000402,0.335337,1.078898,34.2,284.0,33.8,244.0
