update,wall_time_s,t_dist_s,t_collect_s,t_gae_s,t_ppo_s,n_finished,n_won,win_rate,avg_ep_len,avg_reward,p_loss,v_loss,entropy,vram_alloc_before_mb,vram_reserved_before_mb,vram_alloc_after_mb,vram_reserved_after_mb
54,241.628,0.269,129.727,0.0120,111.061,13,13,1.0000,1260.31,-222.4846,-0.003151,5.065225,1.751814,4.2,10.0,34.2,156.0
55,350.362,0.056,195.056,0.0111,154.534,6,6,1.0000,2730.67,-272.0167,-0.025189,0.548092,2.223580,34.2,156.0,34.2,204.0
56,408.281,0.069,228.807,0.0112,178.614,3,3,1.0000,5461.33,-660.5000,-0.001218,0.585362,2.447834,34.2,204.0,34.2,208.0
57,414.954,0.125,239.822,0.0112,174.189,3,3,1.0000,5461.33,-417.3000,-0.007146,0.334319,2.444408,34.2,208.0,34.2,214.0
58,420.571,0.079,242.086,0.0123,177.531,4,4,1.0000,4096.00,-237.9750,-0.006436,0.434197,2.474711,34.2,214.0,34.2,202.0
59,420.429,0.132,242.413,0.0109,177.014,2,2,1.0000,8192.00,-452.3500,0.011261,0.352787,2.570982,34.2,202.0,34.2,210.0
60,403.008,0.064,228.106,0.0112,173.951,3,3,1.0000,5461.33,-286.7333,-0.002215,0.450640,2.565946,34.2,210.0,34.2,220.0
61,410.967,0.128,235.034,0.0123,174.944,2,2,1.0000,8192.00,-413.0000,0.015731,0.286578,2.666796,34.2,220.0,34.2,214.0
62,419.631,0.131,243.218,0.0125,175.386,1,1,1.0000,16384.00,-928.3000,0.001384,0.259117,2.691733,34.2,214.0,34.2,210.0
63,434.834,0.123,248.588,0.0111,185.215,1,1,1.0000,16384.00,-737.5000,-0.009664,0.257598,2.701563,34.2,210.0,34.2,218.0
64,443.473,0.114,256.260,0.0121,186.195,2,2,1.0000,8192.00,-321.4000,0.003145,0.436379,2.712821,34.2,218.0,34.2,214.0
65,426.992,0.073,250.159,0.0124,175.840,2,2,1.0000,8192.00,-294.9500,-0.033812,0.402317,2.763966,34.2,214.0,34.2,212.0
66,426.850,0.114,248.154,0.0115,177.654,8,8,1.0000,2048.00,-32.0375,-0.013533,0.815673,2.776526,34.2,212.0,34.2,214.0
67,391.144,0.066,217.522,0.0119,172.623,0,0,0.0000,16384.00,-575.2000,0.011851,0.192703,2.736810,34.2,214.0,34.2,218.0
68,418.262,0.111,244.482,0.0111,172.739,1,1,1.0000,16384.00,-657.4000,-0.004822,0.266662,2.758368,34.2,218.0,34.2,236.0
69,421.108,0.127,246.108,0.0116,173.963,1,1,1.0000,16384.00,-645.6000,0.015826,0.455607,2.761402,34.2,236.0,33.8,188.0
70,433.864,0.065,255.113,0.0123,177.773,0,0,0.0000,16384.00,-763.3000,-0.028804,0.174203,2.860145,33.8,188.0,33.8,194.0
71,438.524,0.119,256.498,0.0132,180.987,1,1,1.0000,16384.00,-851.8000,0.002168,0.337519,2.902604,33.8,194.0,33.8,196.0
72,443.435,0.125,257.677,0.0131,184.737,2,2,1.0000,8192.00,-266.8000,-0.009464,0.391264,2.846326,33.8,196.0,33.8,176.0
73,438.998,0.124,255.214,0.0123,182.758,1,1,1.0000,16384.00,-603.4000,-0.008453,0.324588,2.833405,33.8,176.0,34.2,210.0
74,441.856,0.129,256.494,0.0115,184.298,1,1,1.0000,16384.00,-539.5000,0.004960,0.168485,2.804038,34.2,210.0,34.2,230.0
75,431.884,0.126,256.697,0.0126,174.148,2,2,1.0000,8192.00,-339.7500,-0.002998,0.281274,2.800205,34.2,230.0,34.2,218.0
76,444.488,0.063,267.918,0.0108,175.560,0,0,0.0000,16384.00,-912.8000,-0.024144,0.187866,2.843067,34.2,218.0,34.2,202.0
77,429.120,0.065,250.963,0.0112,177.156,2,2,1.0000,8192.00,-469.5000,-0.006625,0.323343,2.855589,34.2,202.0,33.8,196.0
78,439.374,0.127,258.121,0.0109,180.191,1,1,1.0000,16384.00,-867.1000,0.025203,0.401000,2.815071,33.8,196.0,33.8,198.0
79,437.724,0.120,257.115,0.0123,179.571,1,1,1.0000,16384.00,-852.8000,-0.025595,0.272282,2.747676,33.8,198.0,33.8,188.0
80,425.792,0.072,246.852,0.0119,177.988,1,1,1.0000,16384.00,-877.3000,-0.002690,0.168071,2.844467,33.8,188.0,34.2,218.0
81,445.589,0.066,264.966,0.0109,179.628,2,2,1.0000,8192.00,-440.5000,-0.004882,0.406521,2.809077,34.2,218.0,34.2,214.0
82,459.680,0.130,277.160,0.0106,181.484,3,3,1.0000,5461.33,-255.7000,0.007190,0.771723,2.786215,34.2,214.0,33.8,208.0
83,450.494,0.059,273.299,0.0115,176.198,2,2,1.0000,8192.00,-366.7500,0.011400,0.677462,2.861090,33.8,208.0,34.2,196.0
84,457.990,0.069,281.142,0.0109,175.862,2,2,1.0000,8192.00,-295.8500,-0.009155,0.333784,2.771586,34.2,196.0,33.8,198.0
85,459.898,0.122,278.251,0.0118,180.590,0,0,0.0000,16384.00,-841.9000,0.003750,0.156121,2.811803,33.8,198.0,33.8,210.0
86,474.394,0.112,286.196,0.0113,187.162,0,0,0.0000,16384.00,-759.4000,-0.002647,0.136083,2.823436,33.8,210.0,33.8,194.0
87,451.979,0.123,273.979,0.0111,176.911,1,1,1.0000,16384.00,-801.0000,-0.023991,0.178939,2.804190,33.8,194.0,33.8,204.0
88,465.628,0.126,279.435,0.0115,185.104,2,2,1.0000,8192.00,-319.7000,0.016596,0.505251,2.885531,33.8,204.0,34.2,234.0
89,447.708,0.115,268.997,0.0117,177.665,1,1,1.0000,16384.00,-779.2000,0.011489,0.252201,2.835201,34.2,234.0,33.8,208.0
90,460.564,0.067,278.404,0.0108,181.139,1,1,1.0000,16384.00,-749.9000,0.022202,0.471421,2.840311,33.8,208.0,33.8,206.0
91,445.233,0.125,267.473,0.0109,176.680,1,1,1.0000,16384.00,-605.2000,0.013914,0.420457,2.818240,33.8,206.0,33.8,206.0
92,452.574,0.125,272.496,0.0107,178.968,1,1,1.0000,16384.00,-628.4000,0.024738,0.298742,2.863162,33.8,206.0,34.2,214.0
93,461.070,0.118,275.567,0.0122,184.405,0,0,0.0000,16384.00,-705.8000,0.014166,0.185912,2.817258,34.2,214.0,34.2,228.0
94,479.906,0.124,284.053,0.0116,194.726,1,1,1.0000,16384.00,-662.2000,0.002097,0.332692,2.893173,34.2,228.0,34.2,210.0
95,455.231,0.061,276.909,0.0111,177.292,1,1,1.0000,16384.00,-550.2000,-0.016716,0.201033,2.830377,34.2,210.0,33.8,196.0
96,459.160,0.123,279.035,0.0115,179.023,0,0,0.0000,16384.00,-585.8000,0.007742,0.178484,2.816949,33.8,196.0,34.2,230.0
97,460.161,0.120,274.481,0.0115,184.565,0,0,0.0000,16384.00,-560.2999,0.006819,0.172345,2.810939,34.2,230.0,34.2,214.0
98,466.870,0.059,281.721,0.0104,184.106,2,2,1.0000,8192.00,-210.5500,-0.002103,0.491037,2.779577,34.2,214.0,34.2,228.0
99,470.970,0.060,288.585,0.0116,181.370,1,1,1.0000,16384.00,-455.4000,-0.004139,0.295297,2.802425,34.2,228.0,33.8,188.0
100,466.013,0.063,276.241,0.0115,188.738,2,2,1.0000,8192.00,-151.5000,0.003498,0.532029,2.831732,33.8,188.0,33.8,196.0
101,464.086,0.132,275.095,0.0114,187.869,0,0,0.0000,16384.00,-349.5000,-0.013779,0.203741,2.718149,33.8,196.0,33.8,206.0
102,477.985,0.058,293.929,0.0109,183.014,1,1,1.0000,16384.00,-381.9000,-0.025608,0.183328,2.746670,33.8,206.0,33.8,204.0
103,464.070,0.114,275.904,0.0106,187.066,1,1,1.0000,16384.00,-520.7000,-0.008804,0.372259,2.841374,33.8,204.0,33.8,188.0
104,451.164,0.121,270.228,0.0109,179.841,2,2,1.0000,8192.00,-286.5000,0.017518,0.531820,2.767036,33.8,188.0,33.8,190.0
105,468.068,0.126,280.134,0.0108,186.827,1,1,1.0000,16384.00,-466.1000,0.028208,0.367590,2.789863,33.8,190.0,33.8,202.0
106,479.788,0.126,296.027,0.0104,182.606,2,2,1.0000,8192.00,-151.2000,0.000002,0.577016,2.763455,33.8,202.0,34.2,230.0
107,479.551,0.061,291.719,0.0114,186.811,3,3,1.0000,5461.33,-63.6333,0.002148,0.805139,2.720700,34.2,230.0,33.8,192.0
