update,n_simul_rounds,wall_time_s,t_dist_s,t_collect_s,t_gae_s,t_ppo_s,n_finished,n_won,win_rate,avg_ep_len,avg_reward,p_loss,v_loss,entropy,vram_alloc_before_mb,vram_reserved_before_mb,vram_alloc_after_mb,vram_reserved_after_mb
0,1,366.554,0.285,113.214,0.0125,252.328,20,20,1.0000,819.20,20.000000,-0.002238,1.922642,0.654208,4.2,10.0,34.2,124.0
1,1,420.115,0.133,155.909,0.0115,262.873,16,16,1.0000,1024.00,20.000000,0.001039,0.557758,0.924639,34.2,124.0,34.2,160.0
2,1,311.403,0.067,159.016,0.0109,151.086,12,12,1.0000,1365.33,20.000000,0.002416,0.386666,0.883724,34.2,160.0,34.2,158.0
3,1,333.589,0.079,158.363,0.0126,173.940,12,12,1.0000,1365.33,20.000000,0.002342,0.445012,0.862948,34.2,158.0,34.2,158.0
4,1,255.666,0.155,163.504,0.0113,90.946,7,7,1.0000,2340.57,20.000000,0.002357,0.448944,1.230104,34.2,158.0,34.2,170.0
5,1,249.468,0.147,165.148,0.0113,83.012,5,5,1.0000,3276.80,20.000000,0.001589,0.250212,0.880215,34.2,170.0,34.2,156.0
6,1,255.017,0.075,165.198,0.0119,88.495,5,5,1.0000,3276.80,20.000000,0.001909,0.271264,1.098445,34.2,156.0,34.2,158.0
7,1,231.268,0.071,166.815,0.0142,63.217,3,3,1.0000,5461.33,20.000000,0.000842,0.315035,1.166819,34.2,158.0,34.2,182.0
8,1,188.716,0.128,169.157,0.0126,18.281,1,1,1.0000,16384.00,20.000000,0.000088,0.266117,1.121020,34.2,182.0,34.2,176.0
9,1,193.226,0.071,172.874,0.0183,19.176,1,1,1.0000,16384.00,20.000000,0.000661,0.103136,1.173407,34.2,176.0,34.2,156.0
10,1,195.647,0.148,174.639,0.0111,19.746,1,1,1.0000,16384.00,20.000000,-0.000348,0.198250,1.348109,34.2,156.0,34.2,174.0
11,2,388.440,0.268,365.055,0.0115,21.275,1,1,1.0000,16384.00,20.000000,0.003185,0.104907,1.105616,34.2,174.0,34.2,164.0
12,1,195.849,0.070,178.808,0.0120,16.001,1,1,1.0000,16384.00,20.000000,0.001066,0.106082,0.816264,34.2,164.0,34.2,164.0
13,2,398.988,0.253,353.414,0.0115,43.602,3,3,1.0000,5461.33,20.000000,0.001678,0.289166,0.897407,34.2,164.0,34.2,158.0
14,1,224.316,0.135,174.462,0.0112,48.680,2,2,1.0000,8192.00,20.000000,-0.000028,0.238225,0.954561,34.2,158.0,34.2,148.0
15,1,218.275,0.139,179.850,0.0115,37.230,2,2,1.0000,8192.00,20.000000,0.000446,0.736679,0.868750,34.2,148.0,34.2,160.0
16,1,209.149,0.075,179.351,0.0111,28.703,1,1,1.0000,16384.00,20.000000,0.000183,0.091579,1.548527,34.2,160.0,34.2,160.0
17,1,231.590,0.072,175.835,0.0112,54.705,3,3,1.0000,5461.33,20.000000,0.002743,0.156330,1.096537,34.2,160.0,34.2,180.0
18,2,431.855,0.291,366.882,0.0111,62.875,3,3,1.0000,5461.33,20.000000,0.003337,0.165348,1.396896,34.2,180.0,34.2,168.0
19,1,184.647,0.157,164.514,0.0111,19.010,2,2,1.0000,8192.00,20.000000,0.000622,0.701362,0.657088,34.2,168.0,34.2,160.0
20,1,220.285,0.067,181.343,0.0110,37.934,3,3,1.0000,5461.33,20.000000,0.000702,0.764177,1.260647,34.2,160.0,34.2,166.0
21,1,208.040,0.137,186.649,0.0111,20.288,1,1,1.0000,16384.00,20.000000,-0.000079,0.150238,0.936479,34.2,166.0,34.2,174.0
22,1,243.799,0.084,187.156,0.0115,55.526,1,1,1.0000,16384.00,20.000000,0.000365,0.445109,2.346256,34.2,174.0,34.2,186.0
23,1,277.110,0.069,171.603,0.0108,104.244,4,4,1.0000,4096.00,20.000000,0.001012,0.366544,1.467680,34.2,186.0,34.2,168.0
24,1,193.213,0.140,170.363,0.0114,21.757,1,1,1.0000,16384.00,20.000000,0.002094,0.146852,1.399522,34.2,168.0,34.2,160.0
25,1,190.597,0.144,169.673,0.0116,19.845,1,1,1.0000,16384.00,20.000000,-0.000332,0.311207,1.128685,34.2,160.0,34.2,154.0
26,2,364.323,0.175,340.602,0.0110,21.869,1,1,1.0000,16384.00,20.000000,0.001227,0.203530,1.408618,34.2,154.0,34.2,166.0
27,1,216.147,0.081,181.106,0.0122,33.961,1,1,1.0000,16384.00,20.000000,-0.000129,0.868361,2.097063,34.2,166.0,34.2,184.0
28,4,760.407,0.575,719.470,0.0113,36.961,2,2,1.0000,8192.00,20.000000,0.000797,0.125799,1.105389,34.2,184.0,34.2,168.0
29,1,203.411,0.086,167.087,0.0113,35.247,2,2,1.0000,8192.00,20.000000,0.005617,0.308469,1.456754,34.2,168.0,34.2,164.0
