update,n_simul_rounds,wall_time_s,t_dist_s,t_collect_s,t_gae_s,t_ppo_s,n_finished,n_won,win_rate,avg_ep_len,avg_reward,p_loss,v_loss,entropy,vram_alloc_before_mb,vram_reserved_before_mb,vram_alloc_after_mb,vram_reserved_after_mb
379,1,3555.482,0.299,366.539,0.0225,3183.726,50,50,1.0000,655.36,20.000000,-0.002368,0.526968,1.998122,4.2,10.0,34.2,190.0
380,1,2838.616,0.171,502.909,0.0227,2323.297,35,35,1.0000,936.23,20.000000,-0.000389,0.450120,1.992458,34.2,190.0,34.2,230.0
381,1,2200.357,0.104,618.465,0.0220,1571.559,19,19,1.0000,1724.63,20.000000,0.002488,0.432101,2.053729,34.2,230.0,34.2,224.0
382,1,2804.530,0.204,650.911,0.0224,2140.868,17,17,1.0000,1927.53,20.000000,-0.003253,0.246547,2.094265,34.2,224.0,34.2,226.0
383,1,1806.173,0.091,667.118,0.0255,1128.567,17,17,1.0000,1927.53,20.000000,-0.000348,0.383935,2.018934,34.2,226.0,34.2,220.0
384,1,1237.432,0.201,722.431,0.0249,505.394,6,6,1.0000,5461.33,20.000000,0.001124,0.229420,2.061572,34.2,220.0,34.2,218.0
385,1,1587.161,0.104,690.041,0.0234,886.382,7,7,1.0000,4681.14,20.000000,0.005070,0.409410,2.252076,34.2,218.0,34.2,246.0
386,1,1403.915,0.183,757.319,0.0228,634.739,4,4,1.0000,8192.00,20.000000,0.010249,0.226282,2.497522,34.2,246.0,34.2,226.0
387,1,1224.762,0.105,801.166,0.0250,413.025,4,4,1.0000,8192.00,20.000000,0.007062,0.152115,2.436655,34.2,226.0,34.2,242.0
388,1,1100.816,0.177,850.517,0.0225,239.681,1,1,1.0000,32768.00,20.000000,0.001365,0.421669,2.766529,34.2,242.0,34.2,228.0
389,1,1604.755,0.200,879.997,0.0238,712.573,3,3,1.0000,10922.67,20.000000,0.005249,0.438724,2.422530,34.2,228.0,34.2,256.0
390,1,1330.651,0.098,876.847,0.0296,442.465,2,2,1.0000,16384.00,20.000000,0.007011,0.222958,2.702880,34.2,256.0,34.2,226.0
391,1,1702.183,0.193,845.097,0.0241,844.616,7,7,1.0000,4681.14,20.000000,0.000383,0.664945,2.747340,34.2,226.0,34.2,244.0
392,1,1264.633,0.099,886.367,0.0232,365.732,5,5,1.0000,6553.60,20.000000,0.008397,0.515440,2.517736,34.2,244.0,34.2,224.0
393,1,1241.050,0.124,887.308,0.0249,341.401,9,9,1.0000,3640.89,20.000000,0.008469,0.854922,2.374845,34.2,224.0,34.2,234.0
394,1,979.088,0.123,839.018,0.0228,128.310,1,1,1.0000,32768.00,20.000000,0.016151,0.065517,2.370714,34.2,234.0,34.2,240.0
395,1,1040.409,0.107,937.708,0.0253,90.905,1,1,1.0000,32768.00,20.000000,0.010979,0.667294,2.354601,34.2,240.0,34.2,210.0
396,2,2056.220,0.449,1888.446,0.0218,143.529,1,1,1.0000,32768.00,20.000000,0.002084,0.551313,2.160633,34.2,210.0,34.2,228.0
397,1,1041.307,0.193,909.536,0.0214,118.058,1,1,1.0000,32768.00,20.000000,0.004186,0.351408,2.140179,34.2,228.0,34.2,230.0
398,1,1076.365,0.203,958.186,0.0228,104.935,2,2,1.0000,16384.00,20.000000,0.006489,0.642439,1.996218,34.2,230.0,34.2,208.0
399,6,6060.007,1.184,5857.351,0.0216,129.685,1,1,1.0000,32768.00,20.000000,0.001895,0.621726,2.087876,34.2,208.0,34.2,234.0
400,1,1126.291,0.206,992.068,0.0214,120.678,1,1,1.0000,32768.00,20.000000,0.018205,0.066789,3.038899,34.2,234.0,34.2,228.0
401,3,3247.850,0.687,3042.135,0.0233,166.405,1,1,1.0000,32768.00,20.000000,0.011066,0.155185,2.726267,34.2,228.0,34.2,234.0
402,1,1271.919,0.114,977.532,0.0213,278.775,2,2,1.0000,16384.00,20.000000,0.009009,0.270497,2.027815,34.2,234.0,34.2,224.0
403,2,3080.621,0.321,2159.401,0.0221,890.986,3,3,1.0000,10922.67,20.000000,-0.002297,0.461232,2.549077,34.2,224.0,34.2,244.0
404,3,4077.711,0.573,3165.789,0.0225,867.126,2,2,1.0000,16384.00,20.000000,0.007339,0.312224,2.675531,34.2,244.0,34.2,276.0
405,1,1285.624,0.114,1034.793,0.0232,234.852,3,3,1.0000,10922.67,20.000000,0.012420,0.357987,2.592755,34.2,276.0,34.2,226.0
406,1,1499.568,0.115,1055.781,0.0233,427.225,2,2,1.0000,16384.00,20.000000,0.003971,0.096256,2.362504,34.2,226.0,34.2,238.0
407,1,1365.481,0.113,1029.243,0.0214,321.262,3,3,1.0000,10922.67,20.000000,0.009134,0.316741,2.380293,34.2,238.0,34.2,226.0
408,3,3451.256,0.590,3226.845,0.0263,182.447,1,1,1.0000,32768.00,20.000000,0.013596,0.171554,2.838802,34.2,226.0,34.2,232.0
409,2,2422.473,0.331,2203.608,0.0213,189.631,1,1,1.0000,32768.00,20.000000,0.004391,0.205271,3.026056,34.2,232.0,34.2,226.0
410,1,1316.667,0.115,1109.550,0.0239,192.441,1,1,1.0000,32768.00,20.000000,-0.000980,0.334128,2.636827,34.2,226.0,34.2,246.0
411,1,1221.935,0.185,1108.416,0.0224,98.568,1,1,1.0000,32768.00,20.000000,0.009426,0.301379,2.519988,34.2,246.0,34.2,216.0
412,1,1508.075,0.202,1073.427,0.0236,419.584,3,3,1.0000,10922.67,20.000000,0.006644,0.391713,2.583662,34.2,216.0,34.2,234.0
413,1,1776.471,0.114,980.985,0.0244,777.849,9,9,1.0000,3640.89,20.000000,0.011903,0.553731,2.478811,34.2,234.0,34.2,238.0
414,1,1237.399,0.171,992.302,0.0216,229.232,3,3,1.0000,10922.67,20.000000,0.005979,0.661820,2.419537,34.2,238.0,34.2,214.0
415,1,1308.132,0.128,1034.993,0.0228,257.105,2,2,1.0000,16384.00,20.000000,0.013905,0.366759,2.536226,34.2,214.0,34.2,248.0
416,1,1362.289,0.111,1014.639,0.0243,331.892,2,2,1.0000,16384.00,20.000000,-0.001105,0.472829,2.262258,34.2,248.0,34.2,248.0
417,1,1255.585,0.106,1028.051,0.0240,212.355,3,3,1.0000,10922.67,20.000000,0.013469,0.501793,2.503420,34.2,248.0,34.2,222.0
418,1,1283.173,0.113,974.060,0.0225,293.336,2,2,1.0000,16384.00,20.000000,0.012376,0.170328,2.852927,34.2,222.0,34.2,224.0
419,1,1622.940,0.199,978.147,0.0221,629.908,6,6,1.0000,5461.33,20.000000,0.010435,0.391565,2.633588,34.2,224.0,34.2,240.0
420,1,1203.413,0.208,945.973,0.0226,243.400,5,5,1.0000,6553.60,20.000000,0.004775,0.629437,2.348466,34.2,240.0,34.2,224.0
421,1,1368.388,0.117,904.662,0.0267,448.581,11,11,1.0000,2978.91,20.000000,0.010398,0.511601,2.193918,34.2,224.0,34.2,224.0
422,1,1079.939,0.173,895.123,0.0257,172.055,1,1,1.0000,32768.00,20.000000,0.001214,0.660401,2.784667,34.2,224.0,34.2,246.0
423,1,1887.157,0.188,973.756,0.0219,899.398,2,2,1.0000,16384.00,20.000000,0.006980,0.318957,2.872131,34.2,246.0,34.2,250.0
424,1,1043.029,0.117,882.749,0.0243,146.503,2,2,1.0000,16384.00,20.000000,0.006805,0.568176,2.452747,34.2,250.0,34.2,232.0
425,1,1142.331,0.188,892.582,0.0231,236.117,1,1,1.0000,32768.00,20.000000,0.008612,0.282913,2.820564,34.2,232.0,34.2,234.0
426,1,1055.719,0.186,890.868,0.0228,151.296,1,1,1.0000,32768.00,20.000000,0.014001,0.052903,2.926284,34.2,234.0,34.2,234.0
427,1,1472.115,0.115,925.025,0.0243,532.752,6,6,1.0000,5461.33,20.000000,0.003452,0.371910,2.615797,34.2,234.0,34.2,222.0
428,1,1345.549,0.118,813.362,0.0255,518.151,6,6,1.0000,5461.33,20.000000,0.011340,0.269615,2.749423,34.2,222.0,34.2,238.0
429,1,1348.699,0.186,880.542,0.0227,454.303,3,3,1.0000,10922.67,20.000000,0.012379,0.285653,2.676883,34.2,238.0,34.2,246.0
430,1,1887.685,0.105,873.407,0.0233,1000.607,4,4,1.0000,8192.00,20.000000,0.000487,0.164846,3.124045,34.2,246.0,34.2,260.0
431,1,1767.325,0.174,817.390,0.0208,934.576,6,6,1.0000,5461.33,20.000000,0.001856,0.285663,2.778132,34.2,260.0,34.2,232.0
432,1,1262.598,0.168,861.256,0.0217,387.238,6,6,1.0000,5461.33,20.000000,0.007320,0.360782,2.530860,34.2,232.0,34.2,216.0
433,1,1219.697,0.115,836.323,0.0234,369.880,3,3,1.0000,10922.67,20.000000,-0.004995,0.882379,2.757229,34.2,216.0,34.2,232.0
434,1,1737.624,0.111,895.965,0.0223,826.841,4,4,1.0000,8192.00,20.000000,0.001901,0.241879,2.795493,34.2,232.0,34.2,256.0
435,1,1315.491,0.163,790.525,0.0257,509.964,3,3,1.0000,10922.67,20.000000,0.005281,0.326398,3.000718,34.2,256.0,34.2,230.0
436,1,1158.039,0.190,786.578,0.0227,357.583,5,5,1.0000,6553.60,20.000000,0.005113,0.482478,2.479840,34.2,230.0,34.2,234.0
437,1,1629.512,0.178,788.512,0.0231,826.093,10,10,1.0000,3276.80,20.000000,0.001562,0.308246,2.688660,34.2,234.0,34.2,230.0
438,1,1378.627,0.183,795.127,0.0240,568.683,5,5,1.0000,6553.60,20.000000,0.010100,0.364163,2.755606,34.2,230.0,34.2,238.0
439,1,2428.513,0.114,796.246,0.0234,1616.839,14,14,1.0000,2340.57,20.000000,0.008494,0.364296,2.665558,34.2,238.0,34.2,224.0
440,1,1890.446,0.105,793.703,0.0257,1081.592,11,11,1.0000,2978.91,20.000000,0.001348,0.300220,2.799615,34.2,224.0,34.2,244.0
441,1,1815.638,0.174,804.705,0.0254,1000.143,8,8,1.0000,4096.00,20.000000,0.004709,0.301402,2.739795,34.2,244.0,34.2,220.0
442,1,2234.523,0.172,788.017,0.0222,1434.658,12,12,1.0000,2730.67,20.000000,0.001027,0.355089,2.691195,34.2,220.0,34.2,210.0
443,1,1988.162,0.107,823.329,0.0229,1152.531,14,14,1.0000,2340.57,20.000000,-0.004921,0.494687,2.637661,34.2,210.0,34.2,222.0
444,1,2037.874,0.104,739.712,0.0225,1286.073,8,8,1.0000,4096.00,20.000000,-0.007914,0.214677,2.731035,34.2,222.0,34.2,230.0
445,1,1921.451,0.174,677.077,0.0237,1232.467,18,18,1.0000,1820.44,20.000000,0.008080,0.475262,2.552075,34.2,230.0,34.2,220.0
446,1,1332.357,0.108,732.449,0.0229,588.313,14,14,1.0000,2340.57,20.000000,0.006139,0.533787,2.433803,34.2,220.0,34.2,210.0
447,1,2108.797,0.103,666.707,0.0212,1429.077,15,15,1.0000,2184.53,20.000000,0.004564,0.384925,2.655030,34.2,210.0,34.2,226.0
448,1,1883.675,0.174,709.630,0.0238,1162.119,10,10,1.0000,3276.80,20.000000,0.007045,0.176947,2.711486,34.2,226.0,34.2,234.0
449,1,1201.491,0.168,702.145,0.0230,488.703,4,4,1.0000,8192.00,20.000000,-0.003946,0.386127,2.807425,34.2,234.0,34.2,232.0
450,1,1793.229,0.167,688.092,0.0226,1092.271,9,9,1.0000,3640.89,20.000000,0.006541,0.414284,2.881719,34.2,232.0,34.2,240.0
451,1,2073.787,0.169,663.281,0.0235,1395.488,19,19,1.0000,1724.63,20.000000,0.004559,0.422104,2.619550,34.2,240.0,34.2,220.0
452,1,1521.551,0.176,671.290,0.0228,838.198,8,8,1.0000,4096.00,20.000000,0.006505,0.269504,2.741230,34.2,220.0,34.2,222.0
453,1,990.474,0.119,640.428,0.0228,339.531,3,3,1.0000,10922.67,20.000000,0.009874,0.137609,2.690929,34.2,222.0,34.2,222.0
454,1,1234.027,0.165,718.615,0.0227,504.529,4,4,1.0000,8192.00,20.000000,0.006090,0.535818,3.119107,34.2,222.0,34.2,248.0
455,1,1230.353,0.104,685.592,0.0230,534.745,6,6,1.0000,5461.33,20.000000,0.012110,0.399058,2.547424,34.2,248.0,34.2,216.0
456,1,1476.668,0.106,703.371,0.0225,763.234,4,4,1.0000,8192.00,20.000000,-0.012076,0.455206,3.054173,34.2,216.0,34.2,230.0
457,1,1576.966,0.172,679.755,0.0227,887.382,10,10,1.0000,3276.80,20.000000,0.003862,0.450438,2.638510,34.2,230.0,34.2,250.0
458,1,2024.816,0.125,647.503,0.0230,1365.892,16,16,1.0000,2048.00,20.000000,0.000531,0.525144,2.750316,34.2,250.0,34.2,240.0
459,1,1324.713,0.162,683.054,0.0239,630.877,7,7,1.0000,4681.14,21.428571,0.009896,0.286664,2.679075,34.2,240.0,34.2,218.0
460,1,1556.460,0.167,656.251,0.0222,888.195,9,9,1.0000,3640.89,20.000000,0.008192,0.483109,2.668322,34.2,218.0,34.2,226.0
461,1,2543.689,0.179,638.613,0.0232,1891.950,14,14,1.0000,2340.57,20.714286,0.004142,0.306833,2.874221,34.2,226.0,34.2,236.0
462,1,2181.530,0.174,634.614,0.0230,1534.480,13,13,1.0000,2520.62,20.000000,-0.007205,0.347154,2.755833,34.2,236.0,34.2,230.0
463,1,1936.000,0.114,547.231,0.0223,1376.147,19,19,1.0000,1724.63,20.000000,0.006621,0.444818,2.390677,34.2,230.0,34.2,216.0
464,1,1763.757,0.166,570.855,0.0226,1181.654,10,10,1.0000,3276.80,20.000000,0.003310,0.257276,2.488855,34.2,216.0,34.2,208.0
465,1,1655.479,0.161,598.476,0.0231,1046.083,13,13,1.0000,2520.62,20.000000,0.002916,0.499318,2.710697,34.2,208.0,34.2,218.0
466,1,1419.221,0.105,548.255,0.0251,863.065,12,12,1.0000,2730.67,20.000000,0.005370,0.262283,2.550500,34.2,218.0,34.2,230.0
467,1,2227.438,0.101,588.298,0.0225,1628.390,15,15,1.0000,2184.53,20.000000,0.000986,0.313468,2.695008,34.2,230.0,34.2,240.0
468,1,1578.923,0.107,553.062,0.0242,1016.337,14,14,1.0000,2340.57,20.000000,0.003344,0.533472,2.597061,34.2,240.0,34.2,232.0
469,1,1137.091,0.108,563.688,0.0232,564.267,4,4,1.0000,8192.00,20.000000,0.001281,0.309865,2.854840,34.2,232.0,34.2,224.0
470,1,1288.925,0.184,563.758,0.0223,714.974,11,11,1.0000,2978.91,20.000000,0.009064,0.363326,2.375724,34.2,224.0,34.2,212.0
471,1,835.365,0.109,580.434,0.0224,245.565,2,2,1.0000,16384.00,20.000000,0.007579,0.126556,2.830363,34.2,212.0,34.2,228.0
472,1,1137.295,0.120,608.231,0.0247,518.739,5,5,1.0000,6553.60,20.000000,0.005141,0.310695,2.514992,34.2,228.0,34.2,228.0
473,1,1623.909,0.105,585.344,0.0234,1027.329,10,10,1.0000,3276.80,20.000000,0.000426,0.503944,2.765256,34.2,228.0,34.2,240.0
474,1,932.719,0.114,610.375,0.0250,311.989,4,4,1.0000,8192.00,20.000000,0.005975,0.410012,2.358223,34.2,240.0,34.2,234.0
475,1,1300.774,0.179,606.818,0.0226,682.974,4,4,1.0000,8192.00,20.000000,0.000784,0.212396,2.957278,34.2,234.0,34.2,258.0
476,1,739.286,0.162,628.427,0.0259,100.699,1,1,1.0000,32768.00,20.000000,0.002123,0.148165,2.451876,34.2,258.0,34.2,214.0
477,1,1560.966,0.168,632.235,0.0241,917.736,6,6,1.0000,5461.33,20.000000,0.000149,0.253688,3.047469,34.2,214.0,34.2,236.0
478,1,739.605,0.170,629.563,0.0236,99.998,1,1,1.0000,32768.00,20.000000,0.009813,0.058544,2.701513,34.2,236.0,34.2,228.0
479,1,1182.373,0.109,650.802,0.0221,520.083,4,4,1.0000,8192.00,20.000000,0.002253,0.419286,3.031127,34.2,228.0,34.2,238.0
480,1,889.436,0.170,622.127,0.0317,256.513,4,4,1.0000,8192.00,20.000000,0.012490,0.244629,2.206455,34.2,238.0,34.2,216.0
481,1,1110.117,0.172,653.548,0.0225,445.228,6,6,1.0000,5461.33,20.000000,0.007025,0.371262,2.591512,34.2,216.0,34.2,226.0
482,1,1370.765,0.111,663.371,0.0228,695.028,9,9,1.0000,3640.89,20.000000,0.003971,0.286141,2.467439,34.2,226.0,34.2,234.0
483,1,987.571,0.169,673.329,0.0232,303.663,2,2,1.0000,16384.00,20.000000,0.002137,0.570969,2.776484,34.2,234.0,33.8,214.0
484,1,980.364,0.193,645.201,0.0225,325.179,4,4,1.0000,8192.00,20.000000,0.007872,0.387369,2.489243,33.8,214.0,34.2,230.0
