update,wall_time_s,t_dist_s,t_collect_s,t_gae_s,t_ppo_s,n_finished,n_won,win_rate,avg_ep_len,avg_reward,p_loss,v_loss,entropy,vram_alloc_before_mb,vram_reserved_before_mb,vram_alloc_after_mb,vram_reserved_after_mb
0,564.888,0.097,60.406,0.1085,503.860,8,8,1.0000,1024.00,281.5125,0.007317,1.027514,2.488771,4.2,6.0,34.2,210.0
1,846.449,0.057,87.653,0.1078,757.982,16,3,0.1875,512.00,111.7250,0.005798,0.456001,3.207827,34.2,210.0,34.2,272.0
2,758.508,0.081,78.657,0.1153,679.022,16,6,0.3750,512.00,259.8438,0.006552,0.850515,2.727835,34.2,272.0,34.2,252.0
3,939.109,0.071,92.821,0.1147,845.233,6,3,0.5000,1365.33,508.2166,0.001154,0.562007,3.078404,34.2,252.0,34.2,284.0
4,1181.796,0.075,121.505,0.1206,1058.871,3,1,0.3333,2730.67,660.5333,0.003711,0.191137,3.169467,34.2,284.0,34.2,266.0
5,1479.954,0.057,144.512,0.1125,1333.874,1,1,1.0000,8192.00,1721.5000,0.001672,0.376895,3.358391,34.2,266.0,34.2,268.0
6,1760.538,0.077,157.426,0.1162,1601.377,0,0,0.0000,8192.00,1002.1000,0.003913,0.024160,3.444658,34.2,268.0,34.2,286.0
7,1694.837,0.050,162.532,0.1169,1530.538,1,1,1.0000,8192.00,1351.8000,0.001061,0.261990,3.425220,34.2,286.0,34.2,272.0
8,1863.444,0.049,167.013,0.1217,1694.541,3,1,0.3333,2730.67,434.8333,0.000902,0.283063,3.435022,34.2,272.0,34.2,292.0
9,1727.018,0.049,164.897,0.1137,1560.344,3,2,0.6667,2730.67,564.6000,0.000815,0.566716,3.302918,34.2,292.0,34.2,300.0
10,1645.439,0.043,169.239,0.1146,1474.460,1,0,0.0000,8192.00,1080.5000,0.004587,0.026062,3.255274,34.2,300.0,34.2,304.0
11,1506.256,0.074,156.019,0.1186,1348.481,3,0,0.0000,2730.67,386.2334,0.001976,0.028782,3.207379,34.2,304.0,34.2,282.0
12,1646.946,0.044,159.343,0.1157,1485.838,0,0,0.0000,8192.00,1053.9000,0.001757,0.029584,3.270427,34.2,282.0,34.2,304.0
13,1682.574,0.056,167.910,0.1156,1512.773,2,1,0.5000,4096.00,675.6500,0.001056,0.713987,3.314651,34.2,304.0,34.2,268.0
14,1727.329,0.077,164.254,0.1193,1561.131,4,1,0.2500,2048.00,351.6750,0.001025,0.404941,3.215754,34.2,268.0,34.2,286.0
15,1583.375,0.053,162.636,0.1175,1419.001,2,0,0.0000,4096.00,674.9500,0.002836,0.033299,2.968826,34.2,286.0,34.2,298.0
16,1702.213,0.041,172.296,0.1139,1527.944,1,1,1.0000,8192.00,1489.3000,-0.000125,0.438000,3.074255,34.2,298.0,34.2,294.0
17,1738.159,0.072,169.556,0.1135,1566.660,2,1,0.5000,4096.00,754.9000,0.000438,0.466615,3.091846,34.2,294.0,34.2,270.0
18,1725.226,0.057,159.916,0.1228,1563.370,7,5,0.7143,1170.29,421.2286,0.000012,2.332779,3.035260,34.2,270.0,34.2,284.0
19,1822.726,0.077,165.277,0.1184,1655.386,4,2,0.5000,2048.00,523.2250,0.000417,0.818882,3.107105,34.2,284.0,34.2,292.0
20,1732.470,0.056,149.247,0.1224,1581.170,4,2,0.5000,2048.00,539.5250,0.000855,0.832358,3.041510,34.2,292.0,34.2,298.0
21,1678.563,0.076,161.635,0.1106,1514.936,8,7,0.8750,1024.00,470.5625,0.000393,2.588352,3.017865,34.2,298.0,34.2,304.0
22,1888.163,0.052,171.376,0.1140,1714.736,1,0,0.0000,8192.00,1426.6001,0.003338,0.036187,3.045923,34.2,304.0,34.2,292.0
